Hour,Zone1,Zone2
1057,57464,57464
1058,55129,55129
1059,53646,53646
1060,53131,53131
1061,53121,53121
1062,52906,52906
1063,53276,53276
1064,56138,56138
1065,59716,59716
1066,62963,62963
1067,64494,64494
1068,65047,65047
1069,63617,63617
1070,61409,61409
1071,59537,59537
1072,58728,58728
1073,58776,58776
1074,62072,62072
1075,66414,66414
1076,64682,64682
1077,61027,61027
1078,58707,58707
1079,58020,58020
1080,54865,54865
1081,51948,51948
1082,50090,50090
1083,49191,49191
1084,48765,48765
1085,48625,48625
1086,47930,47930
1087,47173,47173
1088,48520,48520
1089,52041,52041
1090,55291,55291
1091,57642,57642
1092,59767,59767
1093,58631,58631
1094,56005,56005
1095,54202,54202
1096,53140,53140
1097,53559,53559
1098,57479,57479
1099,62594,62594
1100,61778,61778
1101,59425,59425
1102,58130,58130
1103,58555,58555
1104,55825,55825
1105,53309,53309
1106,51544,51544
1107,50953,50953
1108,51364,51364
1109,52563,52563
1110,55939,55939
1111,62776,62776
1112,68643,68643
1113,71904,71904
1114,73334,73334
1115,74501,74501
1116,75163,75163
1117,74267,74267
1118,72771,72771
1119,71177,71177
1120,70012,70012
1121,69058,69058
1122,71301,71301
1123,75463,75463
1124,74274,74274
1125,70136,70136
1126,67089,67089
1127,65091,65091
1128,61355,61355
1129,58066,58066
1130,56117,56117
1131,55117,55117
1132,55346,55346
1133,56400,56400
1134,59172,59172
1135,66034,66034
1136,71901,71901
1137,74632,74632
1138,75882,75882
1139,77095,77095
1140,78137,78137
1141,77450,77450
1142,76267,76267
1143,74889,74889
1144,73815,73815
1145,73004,73004
1146,75009,75009
1147,77509,77509
1148,75907,75907
1149,71651,71651
1150,68333,68333
1151,65785,65785
1152,61424,61424
1153,58148,58148
1154,55910,55910
1155,54806,54806
1156,55242,55242
1157,56548,56548
1158,59771,59771
1159,67249,67249
1160,73391,73391
1161,76090,76090
1162,76839,76839
1163,77557,77557
1164,78189,78189
1165,77286,77286
1166,76406,76406
1167,75146,75146
1168,74083,74083
1169,72829,72829
1170,74479,74479
1171,78134,78134
1172,77052,77052
1173,72743,72743
1174,69323,69323
1175,66422,66422
1176,61974,61974
1177,58682,58682
1178,56816,56816
1179,56071,56071
1180,56259,56259
1181,57436,57436
1182,60376,60376
1183,67490,67490
1184,73462,73462
1185,75683,75683
1186,76215,76215
1187,76652,76652
1188,77545,77545
1189,76275,76275
1190,75573,75573
1191,74421,74421
1192,72987,72987
1193,71562,71562
1194,73222,73222
1195,77796,77796
1196,77010,77010
1197,72362,72362
1198,69042,69042
1199,66407,66407
1200,62051,62051
1201,59157,59157
1202,57203,57203
1203,56087,56087
1204,56165,56165
1205,57265,57265
1206,60121,60121
1207,66999,66999
1208,72974,72974
1209,74949,74949
1210,75381,75381
1211,76145,76145
1212,76484,76484
1213,75640,75640
1214,74004,74004
1215,71938,71938
1216,70660,70660
1217,70071,70071
1218,72113,72113
1219,75541,75541
1220,73846,73846
1221,69130,69130
1222,65622,65622
1223,63316,63316
1224,58985,58985
1225,54767,54767
1226,52572,52572
1227,51046,51046
1228,50765,50765
1229,50966,50966
1230,51303,51303
1231,52272,52272
1232,55433,55433
1233,59262,59262
1234,62592,62592
1235,64769,64769
1236,66037,66037
1237,64988,64988
1238,62572,62572
1239,60632,60632
1240,59623,59623
1241,59238,59238
1242,61227,61227
1243,65194,65194
1244,63902,63902
1245,60152,60152
1246,57848,57848
1247,57457,57457
1248,54509,54509
1249,51067,51067
1250,48875,48875
1251,47867,47867
1252,47469,47469
1253,47504,47504
1254,46954,46954
1255,46211,46211
1256,47689,47689
1257,50867,50867
1258,54546,54546
1259,57182,57182
1260,59539,59539
1261,58818,58818
1262,56647,56647
1263,55076,55076
1264,54041,54041
1265,54088,54088
1266,57280,57280
1267,63201,63201
1268,63097,63097
1269,60509,60509
1270,59076,59076
1271,59196,59196
1272,56221,56221
1273,53461,53461
1274,51964,51964
1275,51493,51493
1276,51961,51961
1277,53702,53702
1278,57557,57557
1279,66502,66502
1280,72617,72617
1281,75444,75444
1282,76540,76540
1283,77468,77468
1284,78628,78628
1285,77850,77850
1286,77165,77165
1287,75945,75945
1288,74612,74612
1289,73467,73467
1290,74463,74463
1291,77678,77678
1292,76485,76485
1293,72320,72320
1294,68567,68567
1295,65651,65651
1296,61094,61094
1297,58005,58005
1298,55900,55900
1299,55143,55143
1300,55536,55536
1301,57035,57035
1302,60111,60111
1303,67990,67990
1304,73434,73434
1305,75492,75492
1306,75743,75743
1307,76579,76579
1308,77583,77583
1309,76849,76849
1310,76274,76274
1311,75050,75050
1312,73874,73874
1313,72679,72679
1314,73739,73739
1315,77632,77632
1316,76716,76716
1317,72456,72456
1318,68898,68898
1319,65865,65865
1320,61190,61190
1321,57895,57895
1322,55784,55784
1323,54700,54700
1324,55166,55166
1325,56433,56433
1326,59751,59751
1327,67613,67613
1328,73062,73062
1329,74855,74855
1330,74767,74767
1331,75409,75409
1332,76381,76381
1333,75656,75656
1334,74735,74735
1335,73481,73481
1336,72501,72501
1337,71251,71251
1338,72424,72424
1339,76701,76701
1340,76039,76039
1341,71840,71840
1342,68368,68368
1343,65328,65328
1344,60766,60766
1345,57295,57295
1346,55334,55334
1347,54519,54519
1348,54835,54835
1349,56092,56092
1350,59546,59546
1351,67483,67483
1352,72521,72521
1353,74364,74364
1354,74432,74432
1355,74738,74738
1356,75300,75300
1357,74858,74858
1358,74283,74283
1359,73021,73021
1360,72193,72193
1361,70888,70888
1362,72040,72040
1363,76755,76755
1364,76543,76543
1365,72250,72250
1366,68541,68541
1367,65300,65300
1368,60549,60549
1369,57016,57016
1370,54991,54991
1371,54021,54021
1372,54497,54497
1373,56081,56081
1374,59272,59272
1375,67157,67157
1376,72730,72730
1377,75251,75251
1378,75672,75672
1379,76212,76212
1380,76755,76755
1381,75826,75826
1382,74510,74510
1383,72683,72683
1384,71724,71724
1385,70764,70764
1386,71599,71599
1387,74810,74810
1388,73842,73842
1389,69554,69554
1390,66093,66093
1391,63684,63684
1392,59594,59594
1393,56000,56000
1394,53934,53934
1395,52732,52732
1396,52354,52354
1397,52158,52158
1398,52065,52065
1399,52844,52844
1400,55735,55735
1401,59261,59261
1402,62149,62149
1403,63685,63685
1404,64597,64597
1405,63447,63447
1406,60697,60697
1407,59011,59011
1408,58064,58064
1409,57688,57688
1410,59547,59547
1411,65031,65031
1412,65004,65004
1413,61204,61204
1414,58162,58162
1415,56769,56769
1416,53517,53517
1417,50224,50224
1418,48205,48205
1419,47185,47185
1420,46925,46925
1421,46897,46897
1422,46527,46527
1423,46166,46166
1424,47744,47744
1425,51238,51238
1426,54777,54777
1427,57336,57336
1428,59900,59900
1429,58986,58986
1430,56809,56809
1431,55045,55045
1432,54214,54214
1433,53934,53934
1434,56048,56048
1435,61140,61140
1436,60860,60860
1437,58308,58308
1438,56369,56369
1439,56279,56279
1440,52837,52837
1441,50153,50153
1442,48623,48623
1443,48218,48218
1444,48961,48961
1445,51242,51242
1446,55878,55878
1447,65128,65128
1448,70959,70959
1449,73479,73479
1450,74220,74220
1451,75312,75312
1452,76426,76426
1453,75353,75353
1454,74847,74847
1455,73603,73603
1456,72991,72991
1457,71649,71649
1458,72378,72378
1459,75655,75655
1460,75290,75290
1461,71014,71014
1462,67522,67522
1463,64756,64756
1464,60218,60218
1465,57034,57034
1466,55070,55070
1467,54380,54380
1468,54803,54803
1469,56137,56137
1470,59219,59219
1471,66940,66940
1472,71887,71887
1473,73845,73845
1474,74051,74051
1475,74941,74941
1476,75973,75973
1477,75230,75230
1478,74378,74378
1479,73179,73179
1480,72128,72128
1481,70905,70905
1482,72063,72063
1483,75574,75574
1484,75263,75263
1485,71023,71023
1486,67326,67326
1487,64317,64317
1488,59560,59560
1489,56182,56182
1490,54284,54284
1491,53472,53472
1492,54159,54159
1493,55709,55709
1494,59151,59151
1495,67056,67056
1496,71966,71966
1497,73889,73889
1498,74239,74239
1499,75452,75452
1500,76192,76192
1501,75763,75763
1502,75250,75250
1503,74141,74141
1504,73274,73274
1505,71919,71919
1506,72330,72330
1507,76061,76061
1508,76269,76269
1509,71881,71881
1510,68238,68238
1511,65001,65001
1512,60271,60271
1513,56959,56959
1514,54827,54827
1515,54010,54010
1516,54486,54486
1517,55609,55609
1518,59165,59165
1519,66872,66872
1520,71983,71983
1521,74293,74293
1522,74793,74793
1523,75755,75755
1524,76334,76334
1525,75295,75295
1526,74890,74890
1527,73807,73807
1528,72596,72596
1529,70916,70916
1530,71578,71578
1531,75297,75297
1532,75595,75595
1533,71407,71407
1534,67730,67730
1535,64752,64752
1536,60176,60176
1537,56689,56689
1538,54659,54659
1539,53938,53938
1540,54342,54342
1541,55824,55824
1542,59065,59065
1543,66550,66550
1544,71754,71754
1545,74414,74414
1546,74846,74846
1547,75537,75537
1548,75985,75985
1549,75094,75094
1550,73398,73398
1551,71831,71831
1552,70569,70569
1553,69492,69492
1554,70048,70048
1555,73110,73110
1556,72867,72867
1557,68501,68501
1558,65073,65073
1559,62480,62480
1560,58504,58504
1561,55024,55024
1562,52774,52774
1563,51649,51649
1564,51554,51554
1565,51899,51899
1566,52278,52278
1567,52851,52851
1568,55178,55178
1569,58738,58738
1570,61770,61770
1571,63236,63236
1572,63728,63728
1573,62642,62642
1574,60264,60264
1575,58191,58191
1576,56580,56580
1577,56049,56049
1578,57770,57770
1579,63003,63003
1580,63785,63785
1581,59807,59807
1582,56638,56638
1583,55398,55398
1584,51851,51851
1585,48469,48469
1586,46293,46293
1587,45222,45222
1588,45202,45202
1589,45555,45555
1590,45587,45587
1591,44833,44833
1592,46434,46434
1593,50008,50008
1594,53339,53339
1595,54954,54954
1596,56206,56206
1597,54885,54885
1598,52417,52417
1599,50397,50397
1600,49147,49147
1601,49262,49262
1602,52250,52250
1603,58497,58497
1604,60056,60056
1605,57267,57267
1606,55389,55389
1607,55019,55019
1608,51677,51677
1609,49018,49018
1610,47682,47682
1611,47155,47155
1612,47819,47819
1613,49926,49926
1614,54602,54602
1615,63719,63719
1616,69290,69290
1617,71931,71931
1618,72217,72217
1619,72933,72933
1620,73755,73755
1621,72973,72973
1622,72135,72135
1623,70840,70840
1624,69427,69427
1625,67650,67650
1626,68419,68419
1627,72651,72651
1628,74098,74098
1629,69754,69754
1630,65922,65922
1631,62463,62463
1632,57839,57839
1633,54095,54095
1634,52193,52193
1635,51808,51808
1636,52384,52384
1637,54181,54181
1638,57857,57857
1639,65421,65421
1640,70376,70376
1641,73211,73211
1642,73612,73612
1643,74367,74367
1644,75125,75125
1645,74249,74249
1646,73559,73559
1647,72406,72406
1648,71273,71273
1649,69762,69762
1650,70200,70200
1651,73462,73462
1652,74435,74435
1653,70169,70169
1654,66187,66187
1655,62642,62642
1656,57734,57734
1657,54301,54301
1658,52230,52230
1659,51673,51673
1660,52262,52262
