Hour,PV,WindOnshore,WindOffshore
495,0.087,0.018,0.2466
496,0.0489,0.0159,0.2254
497,0.0095,0.0173,0.2191
498,0.0001,0.0218,0.239
499,0,0.029,0.2889
500,0,0.0376,0.2929
501,0,0.0429,0.3282
502,0,0.046,0.3231
503,0,0.0452,0.3486
504,0,0.0464,0.4007
505,0,0.0487,0.411
506,0,0.0516,0.4016
507,0,0.0515,0.3982
508,0,0.0551,0.386
509,0,0.0592,0.3943
510,0,0.065,0.4049
511,0,0.0703,0.4312
512,0,0.0833,0.4654
513,0.0086,0.101,0.5261
514,0.0537,0.1102,0.5898
515,0.1124,0.1097,0.6021
516,0.1596,0.0983,0.6309
517,0.1782,0.0901,0.6444
518,0.1722,0.0911,0.6757
519,0.1355,0.101,0.6974
520,0.0693,0.1294,0.7226
521,0.0115,0.183,0.7519
522,0.0002,0.252,0.7822
523,0,0.3055,0.807
524,0,0.3225,0.8163
525,0,0.3316,0.8001
526,0,0.3208,0.7872
527,0,0.307,0.7328
528,0,0.2918,0.6886
529,0,0.2732,0.5632
530,0,0.2546,0.4469
531,0,0.2314,0.4222
532,0,0.2252,0.4322
533,0,0.2206,0.4558
534,0,0.2226,0.6156
535,0,0.2346,0.6985
536,0,0.2455,0.6964
537,0.0013,0.2542,0.7184
538,0.0102,0.2736,0.6394
539,0.0249,0.2699,0.5478
540,0.044,0.252,0.4842
541,0.0576,0.2583,0.4747
542,0.0574,0.2628,0.4357
543,0.0463,0.2596,0.4269
544,0.0251,0.2592,0.3183
545,0.0053,0.2763,0.2998
546,0.0001,0.2727,0.2974
547,0,0.2516,0.2798
548,0,0.2494,0.3027
549,0,0.248,0.396
550,0,0.2274,0.3779
551,0,0.2228,0.463
552,0,0.2179,0.5141
553,0,0.2074,0.61
554,0,0.1972,0.6123
555,0,0.1867,0.6555
556,0,0.1823,0.6872
557,0,0.1859,0.6938
558,0,0.1764,0.6366
559,0,0.1717,0.6596
560,0,0.1679,0.6459
561,0.0046,0.1647,0.6558
562,0.0234,0.1634,0.6766
563,0.05,0.1654,0.7106
564,0.0743,0.1654,0.7258
565,0.0896,0.1503,0.7368
566,0.0916,0.1488,0.7862
567,0.0685,0.1512,0.6788
568,0.0363,0.1552,0.6921
569,0.0073,0.1804,0.7247
570,0.0001,0.2155,0.7593
571,0,0.2387,0.7708
572,0,0.2558,0.7868
573,0,0.2771,0.8172
574,0,0.2902,0.8302
575,0,0.2896,0.8275
576,0,0.289,0.818
577,0,0.2852,0.7895
578,0,0.2882,0.7508
579,0,0.2854,0.6718
580,0,0.2829,0.6718
581,0,0.2699,0.6867
582,0,0.2629,0.6732
583,0,0.2524,0.6482
584,0,0.2455,0.5676
585,0.0046,0.232,0.5473
586,0.0288,0.2166,0.6064
587,0.0712,0.2033,0.6202
588,0.1321,0.1888,0.6758
589,0.1777,0.174,0.7096
590,0.1885,0.161,0.7282
591,0.1539,0.1562,0.7345
592,0.0875,0.1592,0.7597
593,0.0203,0.1776,0.8002
594,0.0002,0.2293,0.8303
595,0,0.2688,0.8364
596,0,0.2792,0.8386
597,0,0.2988,0.8263
598,0,0.3325,0.7476
599,0,0.3488,0.7405
600,0,0.3713,0.7531
601,0,0.3936,0.778
602,0,0.4113,0.79
603,0,0.4127,0.7919
604,0,0.4044,0.7874
605,0,0.3976,0.7577
606,0,0.3832,0.6481
607,0,0.3737,0.6455
608,0,0.3584,0.6477
609,0.0099,0.3412,0.6964
610,0.0522,0.3144,0.7731
611,0.1196,0.294,0.8231
612,0.1867,0.2779,0.8516
613,0.2246,0.2807,0.8604
614,0.21,0.2894,0.8527
615,0.1577,0.2975,0.8742
616,0.0875,0.3314,0.8733
617,0.0186,0.3869,0.875
618,0.0002,0.455,0.8505
619,0,0.5258,0.8155
620,0,0.5783,0.8074
621,0,0.6141,0.7888
622,0,0.6314,0.771
623,0,0.6384,0.7808
624,0,0.6384,0.8116
625,0,0.6282,0.8204
626,0,0.6099,0.8273
627,0,0.6027,0.8323
628,0,0.5993,0.8367
629,0,0.5963,0.8389
630,0,0.5839,0.8372
631,0,0.5893,0.8344
632,0,0.5894,0.8292
633,0.0082,0.5807,0.8188
634,0.0387,0.5819,0.6584
635,0.0826,0.5865,0.6514
636,0.132,0.6038,0.6544
637,0.141,0.6162,0.6564
638,0.11,0.6167,0.6535
639,0.0714,0.6132,0.6509
640,0.0358,0.6118,0.6539
641,0.0075,0.6173,0.6483
642,0.0002,0.624,0.6097
643,0,0.6338,0.5592
644,0,0.6475,0.5509
645,0,0.6522,0.6351
646,0,0.6392,0.7533
647,0,0.6294,0.7723
648,0,0.621,0.7806
649,0,0.5995,0.7819
650,0,0.5725,0.7683
651,0,0.5549,0.7621
652,0,0.5556,0.7829
653,0,0.5705,0.7783
654,0,0.5762,0.7809
655,0,0.5781,0.78
656,0,0.5572,0.783
657,0.0102,0.5056,0.7882
658,0.0434,0.4455,0.7906
659,0.1016,0.4237,0.7875
660,0.1619,0.4085,0.7862
661,0.1944,0.4098,0.7855
662,0.186,0.3708,0.8275
663,0.1471,0.329,0.8644
664,0.0772,0.2695,0.8427
665,0.015,0.2242,0.8653
666,0.0003,0.2125,0.8635
667,0,0.2452,0.8645
668,0,0.2717,0.8666
669,0,0.2991,0.8685
670,0,0.3227,0.8689
671,0,0.3235,0.867
672,0,0.3278,0.8662
673,0,0.3401,0.865
674,0,0.356,0.8602
675,0,0.3824,0.8611
676,0,0.4155,0.8608
677,0,0.4492,0.8614
678,0,0.4809,0.8606
679,0,0.5266,0.8578
680,0,0.5595,0.8564
681,0.0143,0.5789,0.8467
682,0.0856,0.5822,0.8496
683,0.1733,0.6096,0.8305
684,0.2261,0.6331,0.7991
685,0.2396,0.6588,0.7212
686,0.2246,0.6733,0.5848
687,0.1794,0.6771,0.5742
688,0.1,0.6817,0.6628
689,0.0241,0.6859,0.77
690,0.0003,0.6786,0.83
691,0,0.6799,0.8419
692,0,0.6755,0.8493
693,0,0.6715,0.8558
694,0,0.6691,0.8617
695,0,0.6446,0.8286
696,0,0.6423,0.8458
697,0,0.634,0.8532
698,0,0.6403,0.8411
699,0,0.6426,0.83
700,0,0.6474,0.8294
701,0,0.6632,0.8252
702,0,0.6685,0.8236
703,0,0.7055,0.8352
704,0.0001,0.7143,0.8156
705,0.0162,0.7196,0.8482
706,0.0684,0.7064,0.8215
707,0.1204,0.6926,0.6921
708,0.1457,0.6643,0.8036
709,0.1361,0.6344,0.8404
710,0.1118,0.6083,0.8382
